Date,GRG.L,JD.L,MAB.L,NXT.L,SMWH.L
2022-01-04,3338.278564453125,215.73619079589844,263.6000061035156,8048.0751953125,1567.8275146484375
2022-01-05,3367.237548828125,218.9352264404297,259.79998779296875,8026.107421875,1562.831298828125
2022-01-06,3096.620361328125,212.73707580566406,258.6000061035156,7758.50439453125,1589.3115234375
2022-01-07,3057.675537109375,213.93670654296875,257.6000061035156,7776.47705078125,1585.314453125
2022-01-10,2879.927001953125,212.73707580566406,263.0,7642.6748046875,1587.3131103515625
2022-01-11,2895.904541015625,218.73529052734375,263.3999938964844,7988.1630859375,1611.794677734375
2022-01-12,2854.96240234375,211.4374542236328,257.6000061035156,7990.1611328125,1573.323486328125
2022-01-13,2802.037109375,197.8914794921875,260.0,7662.1806640625,1558.8341064453125
2022-01-14,2707.17138671875,192.9429168701172,262.0,7418.49365234375,1563.330810546875
2022-01-17,2689.19677734375,195.94203186035156,264.0,7616.240234375,1581.3172607421875
2022-01-18,2621.292236328125,189.04409790039062,264.3999938964844,7510.3759765625,1551.340087890625
2022-01-19,2616.2998046875,191.74327087402344,261.0,7530.349609375,1661.257568359375
2022-01-20,2645.2587890625,194.59242248535156,266.79998779296875,7548.3271484375,1696.2315673828125
2022-01-21,2624.288330078125,192.64300537109375,259.20001220703125,7476.4189453125,1700.2283935546875
2022-01-24,2483.487548828125,182.8459014892578,249.39999389648438,7252.70556640625,1644.7698974609375
2022-01-25,2555.3857421875,182.49603271484375,255.0,7420.49072265625,1661.257568359375
2022-01-26,2636.271484375,183.94561767578125,258.20001220703125,7434.4736328125,1667.7528076171875
2022-01-27,2623.2900390625,186.9447021484375,256.6000061035156,7418.49365234375,1707.22314453125
2022-01-28,2643.26123046875,188.24432373046875,249.1999969482422,7564.3056640625,1679.7437744140625
2022-01-31,2664.232177734375,187.994384765625,250.39999389648438,7488.404296875,1646.7684326171875
2022-02-01,2736.130615234375,191.3433837890625,254.60000610351562,7490.40087890625,1689.736328125
2022-02-02,2782.065185546875,188.24432373046875,254.39999389648438,7546.32958984375,1641.772216796875
2022-02-03,2728.141845703125,184.24549865722656,251.39999389648438,7284.66455078125,1637.2757568359375
2022-02-04,2668.226806640625,181.94618225097656,251.0,7132.859375,1624.285400390625
2022-02-07,2650.251953125,181.3463592529297,251.8000030517578,7184.79296875,1628.781982421875
2022-02-08,2664.232177734375,178.99705505371094,254.39999389648438,7132.859375,1631.2799072265625
2022-02-09,2707.17138671875,181.84619140625,261.0,7242.7177734375,1675.2470703125
2022-02-10,2687.19970703125,178.79713439941406,266.20001220703125,7250.7080078125,1692.734130859375
2022-02-11,2640.265380859375,174.59835815429688,266.20001220703125,7184.79296875,1659.2591552734375
2022-02-14,2581.348876953125,168.45018005371094,257.20001220703125,7148.83837890625,1590.3106689453125
2022-02-15,2660.23779296875,168.80006408691406,255.60000610351562,7064.94677734375,1653.7633056640625
2022-02-16,2653.24755859375,165.95089721679688,253.1999969482422,6969.06884765625,1648.76708984375
2022-02-17,2605.315185546875,164.95120239257812,245.8000030517578,6909.1455078125,1576.82080078125
2022-02-18,2580.35009765625,165.6510009765625,240.0,6841.2333984375,1549.3414306640625
2022-02-21,2519.436767578125,161.5022430419922,237.0,6837.23779296875,1540.84765625
2022-02-22,2529.4228515625,160.5525360107422,238.39999389648438,6841.2333984375,1573.822998046875
2022-02-23,2494.4716796875,155.80392456054688,238.39999389648438,6783.30712890625,1574.822265625
2022-02-24,2499.465087890625,153.45458984375,228.60000610351562,6743.35888671875,1558.8341064453125
2022-02-25,2596.32763671875,150.20556640625,237.0,6787.3017578125,1627.2830810546875
2022-02-28,2571.36328125,150.95533752441406,237.8000030517578,6853.2177734375,1624.285400390625
2022-03-01,2534.415771484375,144.7571563720703,224.8000030517578,6503.666015625,1615.79150390625
2022-03-02,2547.39697265625,146.05679321289062,229.0,6477.69873046875,1592.3092041015625
2022-03-03,2433.557861328125,141.00830078125,219.60000610351562,6204.04931640625,1502.3763427734375
2022-03-04,2330.70361328125,131.51109313964844,211.39999389648438,5968.3515625,1379.4683837890625
2022-03-07,2279.775390625,131.81101989746094,211.0,5762.615234375,1337.000244140625
2022-03-08,2202.884765625,131.71104431152344,213.8000030517578,5834.52294921875,1370.9747314453125
2022-03-09,2299.747314453125,144.60723876953125,228.1999969482422,6281.94970703125,1443.4205322265625
2022-03-10,2228.847900390625,141.1082763671875,217.8000030517578,6086.20068359375,1411.944091796875
2022-03-11,2332.70068359375,140.2584991455078,222.0,6138.13427734375,1420.9373779296875
2022-03-14,2321.716552734375,144.4072723388672,219.8000030517578,6273.95947265625,1428.431884765625
2022-03-15,2367.6513671875,141.70806884765625,222.0,6232.013671875,1427.4324951171875
2022-03-16,2488.480712890625,148.9559326171875,231.39999389648438,6451.7314453125,1472.8985595703125
2022-03-17,2507.45361328125,148.9559326171875,239.8000030517578,6467.71142578125,1471.8994140625
2022-03-18,2552.389892578125,151.0053253173828,238.8000030517578,6519.64501953125,1486.388427734375
2022-03-21,2470.505859375,148.85597229003906,233.0,6399.798828125,1479.3936767578125
2022-03-22,2508.452392578125,153.2546844482422,238.0,6453.72998046875,1461.90673828125
2022-03-23,2456.52587890625,151.55520629882812,232.8000030517578,6375.82958984375,1437.4251708984375
2022-03-24,2412.97998046875,147.60630798339844,228.0,6168.09619140625,1424.9344482421875
2022-03-25,2414.977783203125,150.15557861328125,228.1999969482422,6273.95947265625,1455.9112548828125
2022-03-28,2495.87646484375,151.80508422851562,230.39999389648438,6297.92919921875,1471.3995361328125
2022-03-29,2575.77685546875,160.3025665283203,242.1999969482422,6511.65478515625,1541.347412109375
2022-03-30,2500.8701171875,152.85479736328125,234.60000610351562,6265.9697265625,1468.9014892578125
2022-03-31,2457.923828125,148.20616149902344,233.8000030517578,6024.27978515625,1434.927001953125
2022-04-01,2480.895263671875,150.70541381835938,239.60000610351562,6100.18310546875,1435.4267578125
2022-04-04,2454.927490234375,156.0038604736328,240.60000610351562,6154.11376953125,1442.9210205078125
2022-04-05,2448.935546875,153.8544921875,242.1999969482422,6146.1240234375,1463.9052734375
2022-04-06,2406.98779296875,146.00680541992188,240.0,5912.4228515625,1447.4176025390625
2022-04-07,2416.97509765625,145.10707092285156,242.1999969482422,5828.53076171875,1436.9254150390625
2022-04-08,2410.982421875,146.95655822753906,241.39999389648438,6026.27685546875,1444.91943359375
2022-04-11,2398.997802734375,144.2073516845703,243.39999389648438,6028.275390625,1484.389892578125
